type,ident,lat,lon,clock,updateType,id,air_ground,hexid,alt,gs,heading,rp1lat,rp1lon,rp1alt,rp1clock,fob,oat,airspeed_kts,airspeed_mach,winds,eta,baro_alt,gps-alt,atcident,reg,squawk,altChange,geometry
position,ASA248,32.92139,-117.29778,2016-04-14T11:05:43.000-07:00,Z,ASA248-1461994002-airline-0060,A,,10900,335,146,,,,,,,,,,2016-04-14T11:11:37.000-07:00,,,,,,D,"-117.29778,32.92139,10900"
position,AAL156,32.63111,-116.80611,2016-04-14T11:05:43.000-07:00,Z,AAL156-1461993948-airline-0001,A,,15600,391,81,,,,,,,,,,2016-04-14T14:18:44.000-07:00,,,,,,C,"-116.80611,32.63111,15600"
position,UAL229,32.69871,-116.8732,2016-04-14T11:05:34.000-07:00,A,UAL229-1461994227-airline-0297,A,A5D28E,5200,279,243,,,,,,,,,,,,,,N47414,,D,"-116.8732,32.69871,5200"
position,DAL2805,36.73528,-76.49444,2016-04-14T11:05:42.000-07:00,Z,DAL2805-1461994055-airline-0250,A,,35900,418,205,,,,,,,,,,2016-04-14T12:58:15.000-07:00,,,,,,D,"-76.49444,36.73528,35900"
position,UAL633,41.94575,-87.85141,2016-04-14T11:05:35.000-07:00,A,UAL633-1461994235-airline-0070,A,A46CC1,8800,278,319,,,,,,,,,,,,,,N38417,2601,D,"-87.85141,41.94575,8800"
position,AAL335,41.96472,-88.14361,2016-04-14T11:05:36.000-07:00,Z,AAL335-1461993950-airline-0112,A,,3800,179,91,,,,,,,,,,2016-04-14T11:07:33.000-07:00,,,,,,D,"-88.14361,41.96472,3800"
position,SKW5439,32.84954,-117.4168,2016-04-14T11:05:37.000-07:00,A,SKW5439-1461994146-airline-0138,A,A0B6EA,8600,288,303,,,,,,,,,,,,,,N145SY,7352,C,"-117.4168,32.84954,8600"
position,DAL2449,41.61278,-87.60722,2016-04-14T11:05:36.000-07:00,Z,DAL2449-1461994054-airline-0262,A,,3000,265,300,,,,,,,,,,2016-04-14T11:12:00.000-07:00,,,,,,D,"-87.60722,41.61278,3000"
position,VRD953,36.58662,-121.7711,2016-04-14T11:05:36.000-07:00,A,VRD953-1461994251-airline-0444,A,A6A882,20200,363,328,,,,,,,,,,,,,,N528VA,2074,D,"-121.7711,36.58662,20200"
position,UAL1640,41.6191,-88.07024,2016-04-14T11:05:37.000-07:00,A,UAL1640-1461994226-airline-0316,A,A0817C,39000,516,80,,,,,,,,,,,,,,N13110,2056, ,"-88.07024,41.6191,39000"
position,AMX773,32.40257,-116.9247,2016-04-14T11:05:37.000-07:00,A,AMX773-1461993999-airline-0128,A,A688FA,9400,288,121,,,,,,,,,,,,,,N520AM,1444,C,"-116.9247,32.40257,9400"
position,UAL908,41.96407,-88.33463,2016-04-14T11:05:38.000-07:00,A,UAL908-1461994239-airline-0130,A,A87D48,6700,186,89,,,,,,,,,,,,,,N646UA,6053,D,"-88.33463,41.96407,6700"
position,SWG307,37.30527,-75.86229,2016-04-14T11:05:40.000-07:00,A,SWG307-1461994253-airline-0212,A,C02966,37000,456,14,,,,,,,,,,,,,,CFPRP,3166, ,"-75.86229,37.30527,37000"
position,N95LL,36.43593,-121.8671,2016-04-14T11:05:39.000-07:00,A,N95LL-1462204778-1-0,A,AD3353,17800,330,146,,,,,,,,,,,,,,N95LL,3660,C,"-121.8671,36.43593,17800"
position,SWA2907,36.04278,-121.63667,2016-04-14T11:05:55.000-07:00,Z,SWA2907-1461994256-airline-0400,A,,39000,465,141,,,,,,,,,,2016-04-14T11:49:04.000-07:00,,,,,, ,"-121.63667,36.04278,39000"
position,N85JE,41.54636,-88.05654,2016-04-14T11:05:46.000-07:00,A,N85JE-1462136372-36-1,A,ABA5CC,45000,381,270,,,,,,,,,,,,,,N85JE,6264, ,"-88.05654,41.54636,45000"
position,SKW5809,36.41634,-121.6369,2016-04-14T11:05:45.000-07:00,A,SKW5809-1461994235-airline-0391,A,A0B333,25700,394,328,,,,,,,,,,,,,,N144SY,7720,D,"-121.6369,36.41634,25700"
position,AAL1098,36.82924,-76.18807,2016-04-14T11:05:45.000-07:00,A,AAL1098-1461993948-airline-0316,A,ACD964,31300,471,24,,,,,,,,,,,,,,N927NN,5743,D,"-76.18807,36.82924,31300"
position,SKW5168,42.03333,-87.83333,2016-04-14T11:05:45.000-07:00,Z,SKW5168-1461994233-airline-0312,A,,3300,202,37,,,,,,,,,,2016-04-14T12:04:26.000-07:00,,,,,,C,"-87.83333,42.03333,3300"
position,SWA451,41.91278,-88.23667,2016-04-14T11:06:01.000-07:00,Z,SWA451-1461994257-airline-0095,A,,37000,504,86,,,,,,,,,,2016-04-14T11:51:09.000-07:00,,,,,, ,"-88.23667,41.91278,37000"
position,SKW5361,36.96667,-121.95,2016-04-14T11:05:55.000-07:00,Z,SKW5361-1461994235-airline-0271,A,,12000,351,351,,,,,,,,,,2016-04-14T11:17:30.000-07:00,,,,,,D,"-121.95,36.96667,12000"
